"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 16:15:19 GMT 2023","Thu Jul 27 16:15:20 GMT 2023","636","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testManageJenkinsClickNameIconToReturnToTheMainPage","testManageJenkinsClickNameIconToReturnToTheMainPage","Verify that click on Jenkins icon leads to the Main page when click on Manage Jenkins page"
"passed","Thu Jul 27 16:19:52 GMT 2023","Thu Jul 27 16:19:55 GMT 2023","3433","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreatePipelineInFolderFromCreateJobButton","testCreatePipelineInFolderFromCreateJobButton","Confirm that a 'Pipeline Project' was created within the folder by using the 'Create a job' button"
"passed","Thu Jul 27 16:17:16 GMT 2023","Thu Jul 27 16:17:18 GMT 2023","2157","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:15:36 GMT 2023","Thu Jul 27 16:15:37 GMT 2023","596","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testNumberOfColumnsInProjectStatusTable","testNumberOfColumnsInProjectStatusTable","Verify the number of columns in 'Project Status' table on the 'Build History' page"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProject","testRenameFreestyleProject","Verify if the list of projects' names on Dashboard contains expected Project name.Thus proving that the project renamed successfully."
"passed","Thu Jul 27 16:23:32 GMT 2023","Thu Jul 27 16:23:35 GMT 2023","2554","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateOrgFolderWithExistingName","testCreateOrgFolderWithExistingName","Verify that organization folder can be created with name, that is a name of other existing project"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:17:22 GMT 2023","Thu Jul 27 16:17:24 GMT 2023","2121","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:21:04 GMT 2023","Thu Jul 27 16:21:06 GMT 2023","2665","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectEnableCheckIconDashboardPage","testMultiConfigurationProjectEnableCheckIconDashboardPage","Check if disabled multi-configuration project can be enabled"
"passed","Thu Jul 27 16:13:23 GMT 2023","Thu Jul 27 16:13:26 GMT 2023","2835","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testEditViewDeleteDescription","testEditViewDeleteDescription",""
"passed","Thu Jul 27 16:10:26 GMT 2023","Thu Jul 27 16:10:27 GMT 2023","599","Surefire suite","Surefire test","tests.UserProfileTest","tests.UserProfileTest","testUserProfileHidePreviewDescription","testUserProfileHidePreviewDescription","Verify if 'Hide preview' link disappears after clicking 'Hide preview' link "
"passed","Thu Jul 27 16:20:29 GMT 2023","Thu Jul 27 16:20:32 GMT 2023","2361","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectAddDescription","testMultiConfigurationProjectAddDescription",""
"passed","Thu Jul 27 16:23:03 GMT 2023","Thu Jul 27 16:23:04 GMT 2023","644","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testViewHasListOfItems","testViewHasListOfItems",""
"passed","Thu Jul 27 16:16:18 GMT 2023","Thu Jul 27 16:16:20 GMT 2023","1752","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithEmptyEmailAddress","testCreateUserWithEmptyEmailAddress","Try to create user with empty E-mail address and verify that error message 'Invalid e-mail address' appeared"
"broken","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","beforeMethod","beforeMethod",""
"passed","Thu Jul 27 16:19:37 GMT 2023","Thu Jul 27 16:19:40 GMT 2023","3027","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFreestyleProjectInFolderNewItem","testCreateFreestyleProjectInFolderNewItem","Verify the ability to create a 'Freestyle project' in the folder using the option 'New Item'"
"passed","Thu Jul 27 16:08:50 GMT 2023","Thu Jul 27 16:08:51 GMT 2023","350","Surefire suite","Surefire test","tests.CopyItemTest","tests.CopyItemTest","testFieldCopyFromDoNotDisplayIfDoNotHaveAnyItems","testFieldCopyFromDoNotDisplayIfDoNotHaveAnyItems","Verify 'Copy from' field is not displayed when there are no items exist"
"passed","Thu Jul 27 16:14:42 GMT 2023","Thu Jul 27 16:14:46 GMT 2023","3847","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testCheckChildHealthMetrics","testCheckChildHealthMetrics","The child health metrics can be added to Organization folder"
"passed","Thu Jul 27 16:12:56 GMT 2023","Thu Jul 27 16:12:57 GMT 2023","1802","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelineHidePreviewDescription","testPipelineHidePreviewDescription","Verify the preview of description is not displayed if click on the 'Hide preview' link"
"passed","Thu Jul 27 16:14:38 GMT 2023","Thu Jul 27 16:14:41 GMT 2023","2652","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testChangeStatusToDisableOrgFolder","testChangeStatusToDisableOrgFolder","Verify that the 'Organization Folder' can be disable"
